"CODI_EQUIPAMENT","EQUIPAMENT","SECCIO","TIPUS_VIA","NOM_CARRER","NUM_CARRER_1","NUM_CARRER_2","CODI_BARRI","NUM_BARRI","CODI_DISTRICTE","NOM_DISTRICTE","CODI_POSTAL","CODI_POBLACIO","POBLACIO","LATITUD","LONGITUD","X_ETRS89","Y_ETRS89","X_ED50","Y_ED50","TELEFON_NUM","TELEFON_TIPUS","TELEFON_INFO_COM","HORARI_PERIODE_INICI","HORARI_PERIODE_FI","HORARI_DIES","HORARI_HORES_INICI","HORARI_HORES_FI","HORARI_OBSERVACIONS",
"2093122108","Escola Bressol Municipal Ciutat de Mallorca","#","C","Deià","12","12","45","Porta","08","Nou Barris","08016","019","BARCELONA","41.43294","2.177675","431295.428","4587145.624","431387.367","4587346.606","933593854","#","","","","","","","",
"2093122837","Escola Bressol Municipal L'Arquet","#","C","Jorge Manrique","12","12","41","la Vall d'Hebron","07","Horta-Guinardó","08035","019","BARCELONA","41.43153","2.151592","429114.697","4587010.105","429206.616","4587211.085","934272798","#","","","","","","","",
"2093122931","Escola Bressol Municipal El Caminet del Besòs","#","C","Quito","2","2","58","Baró de Viver","09","Sant Andreu","08030","019","BARCELONA","41.445804","2.19973","433151.319","4588556.479","433243.275","4588757.475","933116686","#","","","","","","","",
"2093123310","Escola Bressol Municipal El Xalet de la Paperera","#","Pl","Julio González","14","14","68","el Poblenou","10","Sant Martí","08005","019","BARCELONA","41.400987","2.206947","433708.652","4583575.363","433800.614","4583776.313","932214100","#","","","","","","","",
"2093123421","Escola Bressol Municipal La Mar Xica","#","C","Carmen Amaya","2","2","68","el Poblenou","10","Sant Martí","08005","019","BARCELONA","41.395054","2.203674","433428.976","4582919.277","433520.936","4583120.22","932211969","#","","","","","","","",
"75990000997","Llar d'Infants Alfa","#","Ptge","Esperança","7","7","44","Vilapicina i la Torre Llobeta","08","Nou Barris","08016","019","BARCELONA","41.429098","2.176855","431222.835","4586719.664","431314.773","4586920.642","933527406","#","","","","","","","",
"75990008599","Centre Educatiu IPSI","#","C","Comte Borrell","243","249","09","la Nova Esquerra de l'Eixample","02","Eixample","08029","019","BARCELONA","41.386861","2.149925","428926.735","4582052.31","429018.654","4582253.244","934449000","#","","","","","","","",
"75990012256","Llar d'Infants Donald *Acàcies","#","C","Acàcies","9","11","62","el Congrés i els Indians","09","Sant Andreu","08027","019","BARCELONA","41.424226","2.178163","431327.04","4586177.737","431418.98","4586378.71","933401476","#","","","","","","","",
"75990016466","Centre Educatiu Lestonnac","#","C","Aragó","284","284","07","la Dreta de Eixample","02","Eixample","08007","019","BARCELONA","41.392634","2.165757","430256.548","4582680.375","430348.479","4582881.315","934873693","Fax","(c. Pau Claris)","","","","","","",
"75990016466","Centre Educatiu Lestonnac","#","C","Pau Claris","131","131","07","la Dreta de Eixample","02","Eixample","08009","019","BARCELONA","41.392866","2.166816","430345.36","4582705.289","430437.291","4582906.23","934873693","Fax","(c. Pau Claris)","","","","","","",
"75990016466","Centre Educatiu Lestonnac","#","C","Aragó","284","284","07","la Dreta de Eixample","02","Eixample","08007","019","BARCELONA","41.392634","2.165757","430256.548","4582680.375","430348.479","4582881.315","932153932","#","(c. Aragó)","","","","","","",
"75990016466","Centre Educatiu Lestonnac","#","C","Pau Claris","131","131","07","la Dreta de Eixample","02","Eixample","08009","019","BARCELONA","41.392866","2.166816","430345.36","4582705.289","430437.291","4582906.23","932159900","#","(c. Pau Claris)","","","","","","",
"75990016466","Centre Educatiu Lestonnac","#","C","Pau Claris","131","131","07","la Dreta de Eixample","02","Eixample","08009","019","BARCELONA","41.392866","2.166816","430345.36","4582705.289","430437.291","4582906.23","934875479","Fax","(c. Aragó)","","","","","","",
"75990016466","Centre Educatiu Lestonnac","#","C","Pau Claris","131","131","07","la Dreta de Eixample","02","Eixample","08009","019","BARCELONA","41.392866","2.166816","430345.36","4582705.289","430437.291","4582906.23","932153932","#","(c. Aragó)","","","","","","",
"75990016466","Centre Educatiu Lestonnac","#","C","Aragó","284","284","07","la Dreta de Eixample","02","Eixample","08007","019","BARCELONA","41.392634","2.165757","430256.548","4582680.375","430348.479","4582881.315","932159900","#","(c. Pau Claris)","","","","","","",
"75990016466","Centre Educatiu Lestonnac","#","C","Aragó","284","284","07","la Dreta de Eixample","02","Eixample","08007","019","BARCELONA","41.392634","2.165757","430256.548","4582680.375","430348.479","4582881.315","934875479","Fax","(c. Aragó)","","","","","","",
"75990021777","Centre Educatiu Josep Tous","#","C","Begur","10","20","17","Sants - Badal","03","Sants-Montjuïc","08028","019","BARCELONA","41.374985","2.129235","427183.625","4580751.094","427275.528","4580952.016","934223515","Fax","","","","","","","",
"75990021777","Centre Educatiu Josep Tous","#","C","Begur","10","20","17","Sants - Badal","03","Sants-Montjuïc","08028","019","BARCELONA","41.374985","2.129235","427183.625","4580751.094","427275.528","4580952.016","934224640","#","","","","","","","",
"75990025727","Centre Educatiu Sant Gregori","#","C","Carles Riba","11","15","25","Sant Gervasi - la Bonanova","05","Sarrià-Sant Gervasi","08035","019","BARCELONA","41.412448","2.1252","426888.131","4584913.557","426980.03","4585114.517","932123998","#","(edifici Arimon)","","","","","","",
"75990025727","Centre Educatiu Sant Gregori","#","C","Arimon","17","17","25","Sant Gervasi - la Bonanova","05","Sarrià-Sant Gervasi","08022","019","BARCELONA","41.404388","2.137031","427868.028","4584008.84","427959.936","4584209.792","932123998","#","(edifici Arimon)","","","","","","",
"75990025727","Centre Educatiu Sant Gregori","#","C","Carles Riba","11","15","25","Sant Gervasi - la Bonanova","05","Sarrià-Sant Gervasi","08035","019","BARCELONA","41.412448","2.1252","426888.131","4584913.557","426980.03","4585114.517","932123108","#","","","","","","","",
"75990025727","Centre Educatiu Sant Gregori","#","C","Arimon","17","17","25","Sant Gervasi - la Bonanova","05","Sarrià-Sant Gervasi","08022","019","BARCELONA","41.404388","2.137031","427868.028","4584008.84","427959.936","4584209.792","932123108","#","","","","","","","",
"75990032092","Centre Educatiu FEDAC-Horta","#","C","Campoamor","49","49","43","Horta","07","Horta-Guinardó","08031","019","BARCELONA","41.434525","2.155207","429419.963","4587339.599","429511.885","4587540.582","934275496","#","","","","","","","",
"75990033216","Parvulari Dídac","#","C","Cardenal Reig","14","14","20","la Maternitat i Sant Ramon","04","Les Corts","08028","019","BARCELONA","41.376965","2.114656","425966.667","4580983.254","426058.559","4581184.177","933344020","#","","","","","","","",
"75990035579","Centre Educatiu IPSE","#","C","Casanova","175","175","08","l'Antiga Esquerra de l'Eixample","02","Eixample","08036","019","BARCELONA","41.392116","2.149766","428919.124","4582635.899","429011.042","4582836.838","933215099","#","","","","","","","",
"75990035579","Centre Educatiu IPSE","#","C","Londres","72","72","08","l'Antiga Esquerra de l'Eixample","02","Eixample","08036","019","BARCELONA","41.39204","2.14903","428857.531","4582627.99","428949.449","4582828.929","934390215","Fax","","","","","","","",
"75990035579","Centre Educatiu IPSE","#","C","Casanova","175","175","08","l'Antiga Esquerra de l'Eixample","02","Eixample","08036","019","BARCELONA","41.392116","2.149766","428919.124","4582635.899","429011.042","4582836.838","934390215","Fax","","","","","","","",
"75990035579","Centre Educatiu IPSE","#","C","Londres","72","72","08","l'Antiga Esquerra de l'Eixample","02","Eixample","08036","019","BARCELONA","41.39204","2.14903","428857.531","4582627.99","428949.449","4582828.929","933215099","#","","","","","","","",
"75990039370","Centre Educatiu Canigó","#","C","Cister","23","23","25","Sant Gervasi - la Bonanova","05","Sarrià-Sant Gervasi","08022","019","BARCELONA","41.411066","2.133169","427552.633","4584753.454","427644.538","4584954.413","932110217","#","","","","","","","",
"75990039370","Centre Educatiu Canigó","#","C","Cister","23","23","25","Sant Gervasi - la Bonanova","05","Sarrià-Sant Gervasi","08022","019","BARCELONA","41.411066","2.133169","427552.633","4584753.454","427644.538","4584954.413","934189846","Fax","","","","","","","",
"75990040205","Centre Educatiu Sant Ramon Nonat","#","C","Collblanc","72","72","20","la Maternitat i Sant Ramon","04","Les Corts","08028","019","BARCELONA","41.375937","2.116325","426105.068","4580867.733","426196.961","4581068.655","933339972","#","","","","","","","",
"75990040207","Centre Educatiu Sant Ramon Nonat-Sagrat Cor","#","C","Collblanc","86","86","20","la Maternitat i Sant Ramon","04","Les Corts","08028","019","BARCELONA","41.375937","2.116325","426105.068","4580867.733","426196.961","4581068.655","934490570","#","","","","","","","",
"75990042577","Llar d'Infants Cel Blau","#","C","Consell de Cent","203","203","08","l'Antiga Esquerra de l'Eixample","02","Eixample","08011","019","BARCELONA","41.384498","2.156741","429494.056","4581784.46","429585.98","4581985.392","933230494","#","","","","","","","",
"75990043220","Llar d'Infants Drac Màgic","#","C","Consell de Cent","435","435","07","la Dreta de Eixample","02","Eixample","08009","019","BARCELONA","41.397294","2.173765","430931.004","4583191.365","431022.941","4583392.31","932328627","#","","","","","","","",
"75990043220","Llar d'Infants Drac Màgic","#","C","Consell de Cent","435","435","07","la Dreta de Eixample","02","Eixample","08009","019","BARCELONA","41.397294","2.173765","430931.004","4583191.365","431022.941","4583392.31","932328627","Fax","","","","","","","",
"75990043873","Centre Educatiu Mary Ward","#","C","Copèrnic","55","55","26","Sant Gervasi - Galvany","05","Sarrià-Sant Gervasi","08006","019","BARCELONA","41.401324","2.141371","428227.408","4583665.085","428319.32","4583866.034","932018555","#","","","","","","","",
"75990048204","Centre Educatiu Sagrat Cor-Diputació","#","C","Diputació","326","326","07","la Dreta de Eixample","02","Eixample","08009","019","BARCELONA","41.395297","2.174303","430973.815","4582969.212","431065.752","4583170.155","932657121","Fax","","","","","","","",
"75990048204","Centre Educatiu Sagrat Cor-Diputació","#","C","Diputació","326","326","07","la Dreta de Eixample","02","Eixample","08009","019","BARCELONA","41.395297","2.174303","430973.815","4582969.212","431065.752","4583170.155","932656361","#","","","","","","","",
"75990049345","Centre Educatiu Guinardó","#","C","Doctor Valls","22","26","35","el Guinardó","07","Horta-Guinardó","08041","019","BARCELONA","41.420034","2.178917","431385.588","4585711.772","431477.528","4585912.741","935102885","Fax","","","","","","","",
"75990049345","Centre Educatiu Guinardó","#","C","Doctor Valls","22","26","35","el Guinardó","07","Horta-Guinardó","08041","019","BARCELONA","41.420034","2.178917","431385.588","4585711.772","431477.528","4585912.741","934353940","#","","","","","","","",
"75990050263","Escola d'Educació Infantil Magnòlia","#","C","Emili Roca","52","58","45","Porta","08","Nou Barris","08016","019","BARCELONA","41.430843","2.178233","431339.815","4586912.292","431431.754","4587113.272","934084887","#","","","","","","","",
"75990050263","Escola d'Educació Infantil Magnòlia","#","C","Emili Roca","52","58","45","Porta","08","Nou Barris","08016","019","BARCELONA","41.430843","2.178233","431339.815","4586912.292","431431.754","4587113.272","933492342","Fax","","","","","","","",
"75990057201","Centre Educatiu  Princesa Margarita","#","Pg","Font d'en Fargas","15","17","36","la Font d'en Fargues","07","Horta-Guinardó","08032","019","BARCELONA","41.426208","2.165862","430301.28","4586407.679","430393.21","4586608.654","934208166","#","","","","","","","",
"75990057201","Centre Educatiu  Princesa Margarita","#","Pg","Font d'en Fargas","15","17","36","la Font d'en Fargues","07","Horta-Guinardó","08032","019","BARCELONA","41.426208","2.165862","430301.28","4586407.679","430393.21","4586608.654","934290313","#","","","","","","","",
"75990067136","Centre Educatiu Zurich","#","Av","Pearson","73","73","21","Pedralbes","04","Les Corts","08034","019","BARCELONA","41.393561","2.104445","425131.836","4582834.476","425223.719","4583035.416","932037606","#","","","","","","","",
"75990068500","Llar d'Infants Corazón de Jesús","#","C","Immaculada","19","19","25","Sant Gervasi - la Bonanova","05","Sarrià-Sant Gervasi","08017","019","BARCELONA","41.406124","2.123117","426706.924","4584213.267","426798.822","4584414.22","934170729","Fax","","","","","","","",
"75990068500","Llar d'Infants Corazón de Jesús","#","C","Immaculada","19","19","25","Sant Gervasi - la Bonanova","05","Sarrià-Sant Gervasi","08017","019","BARCELONA","41.406124","2.123117","426706.924","4584213.267","426798.822","4584414.22","934170729","#","","","","","","","",
"75990068951","Centre Educatiu Decroly","#","C","Vendrell","1","1","25","Sant Gervasi - la Bonanova","05","Sarrià-Sant Gervasi","08022","019","BARCELONA","41.410649","2.133719","427598.164","4584706.655","427690.07","4584907.613","934175271","#","Edifici Primària (Vendrell, 1)","","","","","","",
"75990068951","Centre Educatiu Decroly","#","C","Vendrell","13","13","25","Sant Gervasi - la Bonanova","05","Sarrià-Sant Gervasi","08022","019","BARCELONA","41.410083","2.133106","427546.324","4584644.308","427638.229","4584845.266","934175271","#","Edifici Primària (Vendrell, 1)","","","","","","",
"75990068951","Centre Educatiu Decroly","#","C","Vendrell","13","13","25","Sant Gervasi - la Bonanova","05","Sarrià-Sant Gervasi","08022","019","BARCELONA","41.410083","2.133106","427546.324","4584644.308","427638.229","4584845.266","932123847","#","Edifici Infantil (C. Vendrell 13)","","","","","","",
"75990068951","Centre Educatiu Decroly","#","C","Vendrell","1","1","25","Sant Gervasi - la Bonanova","05","Sarrià-Sant Gervasi","08022","019","BARCELONA","41.410649","2.133719","427598.164","4584706.655","427690.07","4584907.613","932123847","#","Edifici Infantil (C. Vendrell 13)","","","","","","",
"75990073634","Llar d'Infants Befana","#","C","Lafont","20","20","11","el Poble-sec","03","Sants-Montjuïc","08004","019","BARCELONA","41.372971","2.168841","430493.499","4580494.949","430585.433","4580695.869","933295899","#","","","","","","","",
"75990084462","Llar d'Infants Apolo X","#","Av","Paral·lel","110","110","10","Sant Antoni","02","Eixample","08015","019","BARCELONA","41.37535","2.164058","430096.048","4580762.948","430187.978","4580963.87","933290668","#","","","","","","","",
"75990088091","Llar d'Infants L'Acis","#","C","Miquel dels Sants Oliver","4","4","34","Can Baró","07","Horta-Guinardó","08024","019","BARCELONA","41.414463","2.160511","429841.525","4585108.011","429933.451","4585308.974","932844635","#","","","","","","","",
"75990093770","Aula Escuela Europea","#","Av","Mare de Déu de Lorda","34","36","21","Pedralbes","04","Les Corts","08034","019","BARCELONA","41.39808","2.107242","425370.821","4583333.709","425462.706","4583534.654","932030354","#","","","","","","","",
"75990093770","Aula Escuela Europea","#","Av","Mare de Déu de Lorda","34","36","21","Pedralbes","04","Les Corts","08034","019","BARCELONA","41.39808","2.107242","425370.821","4583333.709","425462.706","4583534.654","932056269","Fax","","","","","","","",
"75990098691","Centre Educatiu Sant Pau","#","Av","Pearson","39","39","21","Pedralbes","04","Les Corts","08034","019","BARCELONA","41.39201","2.105114","425186.028","4582661.651","425277.912","4582862.59","932057570","Fax","","","","","","","",
"75990098691","Centre Educatiu Sant Pau","#","Av","Pearson","39","39","21","Pedralbes","04","Les Corts","08034","019","BARCELONA","41.39201","2.105114","425186.028","4582661.651","425277.912","4582862.59","932030500","#","","","","","","","",
"75990099722","Centre Educatiu Sagrada Família-Horta","#","C","Peris i Mencheta","26","26","36","la Font d'en Fargues","07","Horta-Guinardó","08032","019","BARCELONA","41.426622","2.16273","430040.004","4586456.175","430131.932","4586657.15","933570208","#","","","","","","","",
"75990099722","Centre Educatiu Sagrada Família-Horta","#","C","Peris i Mencheta","26","26","36","la Font d'en Fargues","07","Horta-Guinardó","08032","019","BARCELONA","41.426622","2.16273","430040.004","4586456.175","430131.932","4586657.15","933570201","Fax","","","","","","","",
"75990103551","Centre Educatiu Marillac","#","C","Sicília","249","249","06","la Sagrada Família","02","Eixample","08025","019","BARCELONA","41.402956","2.171536","430750.633","4583821.682","430842.568","4584022.633","934578848","#","","","","","","","",
"75990104823","Centre Educatiu Lys","#","C","Puig-reig","9","9","27","el Putxet i el Farró","05","Sarrià-Sant Gervasi","08006","019","BARCELONA","41.404686","2.143158","428380.486","4584036.774","428472.399","4584237.726","934175079","#","","","","","","","",
"75990104823","Centre Educatiu Lys","#","C","Puig-reig","9","9","27","el Putxet i el Farró","05","Sarrià-Sant Gervasi","08006","019","BARCELONA","41.404686","2.143158","428380.486","4584036.774","428472.399","4584237.726","934189124","Fax","","","","","","","",
"75990105914","Centre Educatiu Mare Alfonsa Cavín","#","Av","Rasos de Peguera","57","57","55","Ciutat Meridiana","08","Nou Barris","08033","019","BARCELONA","41.460486","2.175162","431114.593","4590205.718","431206.529","4590406.728","933532285","Fax","","","","","","","",
"75990105914","Centre Educatiu Mare Alfonsa Cavín","#","Av","Rasos de Peguera","57","57","55","Ciutat Meridiana","08","Nou Barris","08033","019","BARCELONA","41.460486","2.175162","431114.593","4590205.718","431206.529","4590406.728","933594996","#","","","","","","","",
"75990108327","Centre Educatiu Reial Monestir de Santa Isabel","#","C","Vergós","44","52","23","Sarrià","05","Sarrià-Sant Gervasi","08017","019","BARCELONA","41.397132","2.126925","427015.154","4583211.693","427107.055","4583412.637","932032788","#","","","","","","","",
"75990108327","Centre Educatiu Reial Monestir de Santa Isabel","#","C","Rocabertí","12","12","23","Sarrià","05","Sarrià-Sant Gervasi","08017","019","BARCELONA","41.397037","2.125333","426881.996","4583202.576","426973.895","4583403.52","932032788","#","","","","","","","",
"75990108327","Centre Educatiu Reial Monestir de Santa Isabel","#","C","Cardenal Sentmenat","1","5","23","Sarrià","05","Sarrià-Sant Gervasi","08017","019","BARCELONA","41.397283","2.126196","426954.425","4583229.13","427046.325","4583430.074","932032788","#","","","","","","","",
"75990108406","Centre Educatiu Salesià de Sant Josep","#","C","Rocafort","42","42","10","Sant Antoni","02","Eixample","08015","019","BARCELONA","41.37744","2.156006","429424.979","4581001.526","429516.903","4581202.45","934231234","#","","","","","","","",
"75990112093","Llar d'Infants Xalesta","#","C","Gran de la Sagrera","139","139","61","la Sagrera","09","Sant Andreu","08027","019","BARCELONA","41.424828","2.190955","432396.518","4586234.574","432488.467","4586435.548","933406373","#","","","","","","","",
"75990112871","Llar d'Infants Petit Laia","#","C","Neopàtria","119","119","60","Sant Andreu","09","Sant Andreu","08030","019","BARCELONA","41.429391","2.189507","432280.316","4586742.227","432372.264","4586943.206","933 111 351","#","","","","","","","",
"75990118960","Centre Educatiu Montserrat *Cros","#","C","Cros","6","10","18","Sants","03","Sants-Montjuïc","08014","019","BARCELONA","41.374737","2.137971","427913.855","4580716.269","428005.765","4580917.19","934210711","#","","","","","","","",
"75990118960","Centre Educatiu Montserrat *Cros","#","C","Cros","6","10","18","Sants","03","Sants-Montjuïc","08014","019","BARCELONA","41.374737","2.137971","427913.855","4580716.269","428005.765","4580917.19","934210844","Fax","","","","","","","",
"75990128073","Centre Educatiu Urgell","#","C","Comte d'Urgell","133","133","09","la Nova Esquerra de l'Eixample","02","Eixample","08036","019","BARCELONA","41.386064","2.153155","429195.929","4581961.176","429287.85","4582162.109","934539703","Fax","","","","","","","",
"75990128073","Centre Educatiu Urgell","#","C","Comte d'Urgell","133","133","09","la Nova Esquerra de l'Eixample","02","Eixample","08036","019","BARCELONA","41.386064","2.153155","429195.929","4581961.176","429287.85","4582162.109","934530299","#","","","","","","","",
"75990128164","Llar d'Infants El Cuquet","#","C","Comte d'Urgell","169","169","09","la Nova Esquerra de l'Eixample","02","Eixample","08036","019","BARCELONA","41.387889","2.150736","428995.615","4582165.771","429087.534","4582366.706","934549572","#","","","","","","","",
"75990131184","Centre Educatiu Maristes Sants - Les Corts","#","C","Antoni de Capmany","80","80","18","Sants","03","Sants-Montjuïc","08014","019","BARCELONA","41.374902","2.135301","427690.754","4580736.744","427782.662","4580937.666","934908625","#","Edifici Vallespir","","","","","","",
"75990131184","Centre Educatiu Maristes Sants - Les Corts","#","C","Vallespir","160","160","19","les Corts","04","Les Corts","08014","019","BARCELONA","41.382926","2.134879","427664.349","4581627.91","427756.256","4581828.84","934908625","#","Edifici Vallespir","","","","","","",
"75990131184","Centre Educatiu Maristes Sants - Les Corts","#","C","Vallespir","160","160","19","les Corts","04","Les Corts","08014","019","BARCELONA","41.382926","2.134879","427664.349","4581627.91","427756.256","4581828.84","933326900","#","Edifici Antoni Campany (Infantil i Primària)","","","","","","",
"75990131184","Centre Educatiu Maristes Sants - Les Corts","#","C","Antoni de Capmany","80","80","18","Sants","03","Sants-Montjuïc","08014","019","BARCELONA","41.374902","2.135301","427690.754","4580736.744","427782.662","4580937.666","933326900","#","Edifici Antoni Campany (Infantil i Primària)","","","","","","",
"75990131419","Centre Educatiu Solc","#","C","Ardena","36","36","21","Pedralbes","04","Les Corts","08034","019","BARCELONA","41.389959","2.106643","425311.488","4582432.636","425403.373","4582633.573","932061314","Fax","","","","","","","",
"75990131419","Centre Educatiu Solc","#","C","Ardena","36","36","21","Pedralbes","04","Les Corts","08034","019","BARCELONA","41.389959","2.106643","425311.488","4582432.636","425403.373","4582633.573","932061313","#","","","","","","","",
"75990132839","Llar d'Infants El Petit Rossinyol","#","C","Viladomat","86","86","10","Sant Antoni","02","Eixample","08015","019","BARCELONA","41.379044","2.158395","429626.485","4581177.646","429718.41","4581378.572","932289574","#","","","","","","","",
"75990135841","Centre Educatiu Castro de la Peña","#","Rbla","Volart","75","81","35","el Guinardó","07","Horta-Guinardó","08041","019","BARCELONA","41.417036","2.175843","431125.542","4585381.402","431217.48","4585582.368","934368827","#","","","","","","","",
"75990135841","Centre Educatiu Castro de la Peña","#","Rbla","Volart","75","81","35","el Guinardó","07","Horta-Guinardó","08041","019","BARCELONA","41.417036","2.175843","431125.542","4585381.402","431217.48","4585582.368","934368827","Fax","","","","","","","",
"75990161839","Llar d'Infants Begonia","#","C","Entença","188","188","09","la Nova Esquerra de l'Eixample","02","Eixample","08029","019","BARCELONA","41.384483","2.144414","428463.334","4581792.867","428555.248","4581993.799","933221959","#","","","","","","","",
"75990162768","Llar d'Infants El Sol","#","C","Numància","91","93","19","les Corts","04","Les Corts","08029","019","BARCELONA","41.385432","2.136439","427797.581","4581904.881","427889.489","4582105.813","933228154","#","","","","","","","",
"75990170841","St. Peter's School","#","C","Eduard Toldrà","18","18","21","Pedralbes","04","Les Corts","08034","019","BARCELONA","41.38864","2.106013","425257.329","4582286.8","425349.214","4582487.735","932054805","Fax","","","","","","","",
"75990170841","St. Peter's School","#","C","Eduard Toldrà","18","18","21","Pedralbes","04","Les Corts","08034","019","BARCELONA","41.38864","2.106013","425257.329","4582286.8","425349.214","4582487.735","932043612","#","","","","","","","",
"75990171094","Centre Educatiu John Talabot","#","C","Escoles Pies","134","134","25","Sant Gervasi - la Bonanova","05","Sarrià-Sant Gervasi","08017","019","BARCELONA","41.406469","2.125245","426885.247","4584249.754","426977.146","4584450.708","934340542","#","(edifici Quatre Camins)","","","","","","",
"75990171094","Centre Educatiu John Talabot","#","C","Escoles Pies","134","134","25","Sant Gervasi - la Bonanova","05","Sarrià-Sant Gervasi","08017","019","BARCELONA","41.406469","2.125245","426885.247","4584249.754","426977.146","4584450.708","934340542","Fax","(edifici Quatre Camins)","","","","","","",
"75990171094","Centre Educatiu John Talabot","#","C","Escoles Pies","134","134","25","Sant Gervasi - la Bonanova","05","Sarrià-Sant Gervasi","08017","019","BARCELONA","41.406469","2.125245","426885.247","4584249.754","426977.146","4584450.708","932123499","#","","","","","","","",
"75990171094","Centre Educatiu John Talabot","#","C","Escoles Pies","134","134","25","Sant Gervasi - la Bonanova","05","Sarrià-Sant Gervasi","08017","019","BARCELONA","41.406469","2.125245","426885.247","4584249.754","426977.146","4584450.708","934173858","Fax","","","","","","","",
"75990171668","Centre Educatiu Sant Ferran","#","C","Font de Canyelles","98","98","51","Verdun","08","Nou Barris","08042","019","BARCELONA","41.441232","2.174452","431034.964","4588068.777","431126.9","4588269.767","933548991","#","","","","","","","",
"75990171668","Centre Educatiu Sant Ferran","#","C","Joan Riera","46","46","51","Verdun","08","Nou Barris","08042","019","BARCELONA","41.442522","2.175301","431107.235","4588211.271","431199.172","4588412.263","933548991","#","","","","","","","",
"75990171668","Centre Educatiu Sant Ferran","#","C","Joan Riera","46","46","51","Verdun","08","Nou Barris","08042","019","BARCELONA","41.442522","2.175301","431107.235","4588211.271","431199.172","4588412.263","933507392","#","(edifici Font de Canyelles)","","","","","","",
"75990171668","Centre Educatiu Sant Ferran","#","C","Font de Canyelles","98","98","51","Verdun","08","Nou Barris","08042","019","BARCELONA","41.441232","2.174452","431034.964","4588068.777","431126.9","4588269.767","933507392","#","(edifici Font de Canyelles)","","","","","","",
"75990171668","Centre Educatiu Sant Ferran","#","C","Joan Riera","46","46","51","Verdun","08","Nou Barris","08042","019","BARCELONA","41.442522","2.175301","431107.235","4588211.271","431199.172","4588412.263","933531619","Fax","","","","","","","",
"75990171668","Centre Educatiu Sant Ferran","#","C","Font de Canyelles","98","98","51","Verdun","08","Nou Barris","08042","019","BARCELONA","41.441232","2.174452","431034.964","4588068.777","431126.9","4588269.767","933531619","Fax","","","","","","","",
"75990172732","Llar d'Infants Dintell","#","C","Balmes","251","251","26","Sant Gervasi - Galvany","05","Sarrià-Sant Gervasi","08006","019","BARCELONA","41.399867","2.149391","428896.276","4583496.669","428988.194","4583697.616","932179076","#","","","","","","","",
