"nom_cabina","qualitat_aire","codi_dtes","zqa","codi_eoi","longitud","latitud","hora_o3","qualitat_o3","valor_o3","hora_no2","qualitat_no2","valor_no2","hora_pm10","qualitat_pm10","valor_pm10","generat","dateTime"
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"0h","Bona","3 µg/m³","0h","Bona","61 µg/m³",NA,NA,NA,"01/01/2019 1:00",1546301102
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"0h","Bona","32 µg/m³","0h","Bona","40 µg/m³","1h","Bona","12 µg/m³","01/01/2019 1:00",1546301102
"Barcelona - Palau Reial","Bona","IZ","01","08019057",2.1151,41.3875,"0h","Bona","1 µg/m³","0h","Bona","63 µg/m³","1h","Bona","15 µg/m³","01/01/2019 1:00",1546301102
"Barcelona - Poblenou","Bona","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"0h","Bona","57 µg/m³","1h","Bona","35 µg/m³","01/01/2019 1:00",1546301102
"Barcelona - Observ Fabra","Bona","OF","01","08019058",2.1239,41.4183,"0h","Bona","84 µg/m³","0h","Bona","4 µg/m³","0h","Bona","7 µg/m³","01/01/2019 1:00",1546301102
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"1h","Bona","85 µg/m³",NA,NA,NA,"01/01/2019 2:00",1546304701
"Barcelona - Eixample","Regular","IH","01","08019043",2.1538,41.3853,"1h","Bona","4 µg/m³","1h","Regular","152 µg/m³","2h","Regular","40 µg/m³","01/01/2019 2:00",1546304701
"Barcelona - Gràcia","Regular","IJ","01","08019044",2.1534,41.3987,"1h","Bona","2 µg/m³","1h","Bona","88 µg/m³","2h","Regular","41 µg/m³","01/01/2019 2:00",1546304701
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"1h","Bona","3 µg/m³","1h","Bona","52 µg/m³",NA,NA,NA,"01/01/2019 2:00",1546304701
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"1h","Bona","38 µg/m³","1h","Bona","36 µg/m³","2h","Bona","12 µg/m³","01/01/2019 2:00",1546304701
"Barcelona - Palau Reial","Bona","IZ","01","08019057",2.1151,41.3875,"1h","Bona","1 µg/m³","1h","Bona","62 µg/m³","2h","Bona","16 µg/m³","01/01/2019 2:00",1546304701
"Barcelona - Poblenou","Bona","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"1h","Bona","51 µg/m³","2h","Bona","36 µg/m³","01/01/2019 2:00",1546304701
"Barcelona - Observ Fabra","Bona","OF","01","08019058",2.1239,41.4183,"1h","Bona","85 µg/m³","1h","Bona","4 µg/m³","2h","Bona","7 µg/m³","01/01/2019 2:00",1546304701
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"2h","Bona","76 µg/m³",NA,NA,NA,"01/01/2019 3:00",1546308302
"Barcelona - Eixample","Regular","IH","01","08019043",2.1538,41.3853,"2h","Bona","3 µg/m³","2h","Regular","106 µg/m³","2h","Regular","42 µg/m³","01/01/2019 3:00",1546308302
"Barcelona - Gràcia","Regular","IJ","01","08019044",2.1534,41.3987,"2h","Bona","3 µg/m³","2h","Regular","107 µg/m³","2h","Regular","42 µg/m³","01/01/2019 3:00",1546308302
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"2h","Bona","3 µg/m³","2h","Bona","53 µg/m³",NA,NA,NA,"01/01/2019 3:00",1546308302
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"2h","Bona","9 µg/m³","2h","Bona","80 µg/m³","2h","Bona","13 µg/m³","01/01/2019 3:00",1546308302
"Barcelona - Palau Reial","Bona","IZ","01","08019057",2.1151,41.3875,"2h","Bona","1 µg/m³","2h","Bona","68 µg/m³","3h","Bona","16 µg/m³","01/01/2019 3:00",1546308302
"Barcelona - Poblenou","Bona","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"2h","Bona","50 µg/m³","3h","Bona","36 µg/m³","01/01/2019 3:00",1546308302
"Barcelona - Observ Fabra","Bona","OF","01","08019058",2.1239,41.4183,"2h","Bona","79 µg/m³","2h","Bona","5 µg/m³","3h","Bona","6 µg/m³","01/01/2019 3:00",1546308302
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"3h","Bona","82 µg/m³",NA,NA,NA,"01/01/2019 4:00",1546311902
"Barcelona - Eixample","Regular","IH","01","08019043",2.1538,41.3853,"3h","Bona","3 µg/m³","3h","Regular","108 µg/m³","4h","Regular","46 µg/m³","01/01/2019 4:00",1546311902
"Barcelona - Gràcia","Regular","IJ","01","08019044",2.1534,41.3987,"3h","Bona","2 µg/m³","3h","Regular","94 µg/m³","4h","Regular","46 µg/m³","01/01/2019 4:00",1546311902
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"3h","Bona","2 µg/m³","3h","Bona","50 µg/m³",NA,NA,NA,"01/01/2019 4:00",1546311902
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"3h","Bona","4 µg/m³","3h","Bona","82 µg/m³","4h","Bona","14 µg/m³","01/01/2019 4:00",1546311902
"Barcelona - Palau Reial","Bona","IZ","01","08019057",2.1151,41.3875,"3h","Bona","1 µg/m³","3h","Bona","75 µg/m³","4h","Bona","17 µg/m³","01/01/2019 4:00",1546311902
"Barcelona - Poblenou","Regular","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"3h","Bona","49 µg/m³","4h","Regular","37 µg/m³","01/01/2019 4:00",1546311902
"Barcelona - Observ Fabra","Bona","OF","01","08019058",2.1239,41.4183,"3h","Bona","75 µg/m³","3h","Bona","6 µg/m³","3h","Bona","6 µg/m³","01/01/2019 4:00",1546311902
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"4h","Bona","89 µg/m³",NA,NA,NA,"01/01/2019 5:00",1546315502
"Barcelona - Eixample","Regular","IH","01","08019043",2.1538,41.3853,"3h","Bona","3 µg/m³","3h","Regular","108 µg/m³","5h","Regular","48 µg/m³","01/01/2019 5:00",1546315502
"Barcelona - Gràcia","Regular","IJ","01","08019044",2.1534,41.3987,"4h","Bona","1 µg/m³","4h","Bona","86 µg/m³","5h","Regular","47 µg/m³","01/01/2019 5:00",1546315502
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"4h","Bona","2 µg/m³","4h","Bona","48 µg/m³",NA,NA,NA,"01/01/2019 5:00",1546315502
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"4h","Bona","3 µg/m³","4h","Bona","82 µg/m³","5h","Bona","16 µg/m³","01/01/2019 5:00",1546315502
"Barcelona - Palau Reial","Bona","IZ","01","08019057",2.1151,41.3875,"4h","Bona","1 µg/m³","4h","Bona","63 µg/m³","5h","Bona","18 µg/m³","01/01/2019 5:00",1546315502
"Barcelona - Poblenou","Regular","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"4h","Bona","46 µg/m³","5h","Regular","38 µg/m³","01/01/2019 5:00",1546315502
"Barcelona - Observ Fabra","Bona","OF","01","08019058",2.1239,41.4183,"4h","Bona","66 µg/m³","4h","Bona","9 µg/m³","5h","Bona","7 µg/m³","01/01/2019 5:00",1546315502
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"5h","Bona","75 µg/m³",NA,NA,NA,"01/01/2019 6:00",1546319102
"Barcelona - Eixample","Regular","IH","01","08019043",2.1538,41.3853,"3h","Bona","3 µg/m³","3h","Regular","108 µg/m³","5h","Regular","48 µg/m³","01/01/2019 6:00",1546319102
"Barcelona - Gràcia","Regular","IJ","01","08019044",2.1534,41.3987,"5h","Bona","1 µg/m³","5h","Bona","74 µg/m³","5h","Regular","47 µg/m³","01/01/2019 6:00",1546319102
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"5h","Bona","2 µg/m³","5h","Bona","43 µg/m³",NA,NA,NA,"01/01/2019 6:00",1546319102
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"5h","Bona","4 µg/m³","5h","Bona","67 µg/m³","5h","Bona","16 µg/m³","01/01/2019 6:00",1546319102
"Barcelona - Palau Reial","Bona","IZ","01","08019057",2.1151,41.3875,"5h","Bona","4 µg/m³","5h","Bona","50 µg/m³","5h","Bona","18 µg/m³","01/01/2019 6:00",1546319102
"Barcelona - Poblenou","Regular","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"5h","Bona","44 µg/m³","5h","Regular","38 µg/m³","01/01/2019 6:00",1546319102
"Barcelona - Observ Fabra","Bona","OF","01","08019058",2.1239,41.4183,"5h","Bona","58 µg/m³","5h","Bona","11 µg/m³","6h","Bona","7 µg/m³","01/01/2019 6:00",1546319102
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"6h","Bona","77 µg/m³",NA,NA,NA,"01/01/2019 7:00",1546322702
"Barcelona - Eixample","Pobra","IH","01","08019043",2.1538,41.3853,"5h","--","--","5h","--","--","7h","Pobra","51 µg/m³","01/01/2019 7:00",1546322702
"Barcelona - Gràcia","Regular","IJ","01","08019044",2.1534,41.3987,"6h","Bona","1 µg/m³","6h","Bona","66 µg/m³","7h","Regular","49 µg/m³","01/01/2019 7:00",1546322702
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"6h","Bona","2 µg/m³","6h","Bona","39 µg/m³",NA,NA,NA,"01/01/2019 7:00",1546322702
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"6h","Bona","12 µg/m³","6h","Bona","47 µg/m³","7h","Bona","17 µg/m³","01/01/2019 7:00",1546322702
"Barcelona - Palau Reial","Bona","IZ","01","08019057",2.1151,41.3875,"6h","Bona","4 µg/m³","6h","Bona","47 µg/m³","7h","Bona","19 µg/m³","01/01/2019 7:00",1546322702
"Barcelona - Poblenou","Regular","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"6h","Bona","43 µg/m³","7h","Regular","40 µg/m³","01/01/2019 7:00",1546322702
"Barcelona - Observ Fabra","Bona","OF","01","08019058",2.1239,41.4183,"6h","Bona","45 µg/m³","6h","Bona","19 µg/m³","7h","Bona","8 µg/m³","01/01/2019 7:00",1546322702
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"7h","Bona","69 µg/m³",NA,NA,NA,"01/01/2019 8:00",1546326302
"Barcelona - Eixample","Pobra","IH","01","08019043",2.1538,41.3853,"6h","--","--","6h","--","--","8h","Pobra","52 µg/m³","01/01/2019 8:00",1546326302
"Barcelona - Gràcia","Regular","IJ","01","08019044",2.1534,41.3987,"6h","Bona","1 µg/m³","6h","Bona","66 µg/m³","8h","Regular","50 µg/m³","01/01/2019 8:00",1546326302
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"7h","Bona","3 µg/m³","7h","Bona","40 µg/m³",NA,NA,NA,"01/01/2019 8:00",1546326302
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"7h","Bona","19 µg/m³","7h","Bona","35 µg/m³","8h","Bona","17 µg/m³","01/01/2019 8:00",1546326302
"Barcelona - Palau Reial","Bona","IZ","01","08019057",2.1151,41.3875,"7h","Bona","9 µg/m³","7h","Bona","37 µg/m³","8h","Bona","19 µg/m³","01/01/2019 8:00",1546326302
"Barcelona - Poblenou","Regular","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"7h","Bona","42 µg/m³","8h","Regular","41 µg/m³","01/01/2019 8:00",1546326302
"Barcelona - Observ Fabra","Bona","OF","01","08019058",2.1239,41.4183,"7h","Bona","27 µg/m³","7h","Bona","28 µg/m³","8h","Bona","9 µg/m³","01/01/2019 8:00",1546326302
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"8h","Bona","65 µg/m³",NA,NA,NA,"01/01/2019 9:00",1546329902
"Barcelona - Eixample","Pobra","IH","01","08019043",2.1538,41.3853,"7h","--","--","7h","--","--","9h","Pobra","51 µg/m³","01/01/2019 9:00",1546329902
"Barcelona - Gràcia","Regular","IJ","01","08019044",2.1534,41.3987,"6h","Bona","1 µg/m³","6h","Bona","66 µg/m³","8h","Regular","50 µg/m³","01/01/2019 9:00",1546329902
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"8h","Bona","3 µg/m³","8h","Bona","41 µg/m³",NA,NA,NA,"01/01/2019 9:00",1546329902
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"8h","Bona","18 µg/m³","8h","Bona","33 µg/m³","8h","Bona","18 µg/m³","01/01/2019 9:00",1546329902
"Barcelona - Palau Reial","Bona","IZ","01","08019057",2.1151,41.3875,"8h","Bona","9 µg/m³","8h","Bona","36 µg/m³","8h","Bona","19 µg/m³","01/01/2019 9:00",1546329902
"Barcelona - Poblenou","Regular","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"8h","Bona","41 µg/m³","8h","Regular","40 µg/m³","01/01/2019 9:00",1546329902
"Barcelona - Observ Fabra","Bona","OF","01","08019058",2.1239,41.4183,"8h","Bona","37 µg/m³","8h","Bona","18 µg/m³","9h","Bona","10 µg/m³","01/01/2019 9:00",1546329902
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"9h","Bona","60 µg/m³",NA,NA,NA,"01/01/2019 10:00",1546333502
"Barcelona - Eixample","Pobra","IH","01","08019043",2.1538,41.3853,"8h","--","--","8h","--","--","9h","Pobra","51 µg/m³","01/01/2019 10:00",1546333502
"Barcelona - Gràcia","Regular","IJ","01","08019044",2.1534,41.3987,"8h","--","--","8h","--","--","10h","Regular","50 µg/m³","01/01/2019 10:00",1546333502
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"9h","Bona","3 µg/m³","9h","Bona","44 µg/m³",NA,NA,NA,"01/01/2019 10:00",1546333502
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"9h","Bona","10 µg/m³","9h","Bona","41 µg/m³","10h","Bona","18 µg/m³","01/01/2019 10:00",1546333502
"Barcelona - Palau Reial","Bona","IZ","01","08019057",2.1151,41.3875,"9h","Bona","12 µg/m³","9h","Bona","29 µg/m³","10h","Bona","19 µg/m³","01/01/2019 10:00",1546333502
"Barcelona - Poblenou","Regular","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"9h","Bona","39 µg/m³","10h","Regular","40 µg/m³","01/01/2019 10:00",1546333502
"Barcelona - Observ Fabra","Bona","OF","01","08019058",2.1239,41.4183,"9h","Bona","44 µg/m³","9h","Bona","16 µg/m³","10h","Bona","10 µg/m³","01/01/2019 10:00",1546333502
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"10h","Bona","59 µg/m³",NA,NA,NA,"01/01/2019 11:00",1546337101
"Barcelona - Eixample","Pobra","IH","01","08019043",2.1538,41.3853,"10h","Bona","2 µg/m³","10h","Bona","79 µg/m³","11h","Pobra","51 µg/m³","01/01/2019 11:00",1546337101
"Barcelona - Gràcia","Regular","IJ","01","08019044",2.1534,41.3987,"9h","--","--","9h","--","--","11h","Regular","49 µg/m³","01/01/2019 11:00",1546337101
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"10h","Bona","5 µg/m³","10h","Bona","45 µg/m³",NA,NA,NA,"01/01/2019 11:00",1546337101
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"10h","Bona","22 µg/m³","10h","Bona","33 µg/m³","11h","Bona","18 µg/m³","01/01/2019 11:00",1546337101
"Barcelona - Palau Reial","Bona","IZ","01","08019057",2.1151,41.3875,"10h","Bona","15 µg/m³","10h","Bona","28 µg/m³","11h","Bona","19 µg/m³","01/01/2019 11:00",1546337101
"Barcelona - Poblenou","Regular","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"10h","Bona","36 µg/m³","11h","Regular","39 µg/m³","01/01/2019 11:00",1546337101
"Barcelona - Observ Fabra","Bona","OF","01","08019058",2.1239,41.4183,"10h","Bona","57 µg/m³","10h","Bona","9 µg/m³","11h","Bona","11 µg/m³","01/01/2019 11:00",1546337101
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"11h","Bona","51 µg/m³",NA,NA,NA,"01/01/2019 12:00",1546340702
"Barcelona - Eixample","Regular","IH","01","08019043",2.1538,41.3853,"11h","Bona","7 µg/m³","11h","Bona","57 µg/m³","12h","Regular","50 µg/m³","01/01/2019 12:00",1546340702
"Barcelona - Gràcia","Regular","IJ","01","08019044",2.1534,41.3987,"10h","--","--","10h","--","--","12h","Regular","49 µg/m³","01/01/2019 12:00",1546340702
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"11h","Bona","10 µg/m³","11h","Bona","37 µg/m³",NA,NA,NA,"01/01/2019 12:00",1546340702
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"11h","Bona","40 µg/m³","11h","Bona","16 µg/m³","12h","Bona","19 µg/m³","01/01/2019 12:00",1546340702
"Barcelona - Palau Reial","Bona","IZ","01","08019057",2.1151,41.3875,"11h","Bona","38 µg/m³","11h","Bona","16 µg/m³","11h","Bona","19 µg/m³","01/01/2019 12:00",1546340702
"Barcelona - Poblenou","Regular","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"11h","Bona","35 µg/m³","11h","Regular","39 µg/m³","01/01/2019 12:00",1546340702
"Barcelona - Observ Fabra","Bona","OF","01","08019058",2.1239,41.4183,"11h","Bona","62 µg/m³","11h","Bona","8 µg/m³","12h","Bona","11 µg/m³","01/01/2019 12:00",1546340702
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"12h","Bona","23 µg/m³",NA,NA,NA,"01/01/2019 13:00",1546344302
"Barcelona - Eixample","Regular","IH","01","08019043",2.1538,41.3853,"12h","Bona","29 µg/m³","12h","Bona","32 µg/m³","13h","Regular","50 µg/m³","01/01/2019 13:00",1546344302
"Barcelona - Gràcia","Regular","IJ","01","08019044",2.1534,41.3987,"12h","Bona","36 µg/m³","12h","Bona","22 µg/m³","13h","Regular","43 µg/m³","01/01/2019 13:00",1546344302
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"12h","Bona","17 µg/m³","12h","Bona","35 µg/m³",NA,NA,NA,"01/01/2019 13:00",1546344302
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"12h","Bona","43 µg/m³","12h","Bona","15 µg/m³","13h","Bona","19 µg/m³","01/01/2019 13:00",1546344302
"Barcelona - Palau Reial","Bona","IZ","01","08019057",2.1151,41.3875,"12h","Bona","45 µg/m³","12h","Bona","11 µg/m³","13h","Bona","19 µg/m³","01/01/2019 13:00",1546344302
"Barcelona - Poblenou","Regular","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"12h","Bona","36 µg/m³","13h","Regular","37 µg/m³","01/01/2019 13:00",1546344302
"Barcelona - Observ Fabra","Bona","OF","01","08019058",2.1239,41.4183,"12h","Bona","64 µg/m³","12h","Bona","7 µg/m³","13h","Bona","11 µg/m³","01/01/2019 13:00",1546344302
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"13h","Bona","19 µg/m³",NA,NA,NA,"01/01/2019 14:00",1546347901
"Barcelona - Eixample","Regular","IH","01","08019043",2.1538,41.3853,"13h","Bona","42 µg/m³","13h","Bona","29 µg/m³","14h","Regular","48 µg/m³","01/01/2019 14:00",1546347901
"Barcelona - Gràcia","Regular","IJ","01","08019044",2.1534,41.3987,"13h","Bona","49 µg/m³","13h","Bona","18 µg/m³","14h","Regular","43 µg/m³","01/01/2019 14:00",1546347901
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"13h","Bona","25 µg/m³","13h","Bona","31 µg/m³",NA,NA,NA,"01/01/2019 14:00",1546347901
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"13h","Bona","48 µg/m³","13h","Bona","17 µg/m³","14h","Bona","19 µg/m³","01/01/2019 14:00",1546347901
"Barcelona - Palau Reial","Bona","IZ","01","08019057",2.1151,41.3875,"13h","Bona","53 µg/m³","13h","Bona","9 µg/m³","14h","Bona","19 µg/m³","01/01/2019 14:00",1546347901
"Barcelona - Poblenou","Bona","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"13h","Bona","34 µg/m³","14h","Bona","35 µg/m³","01/01/2019 14:00",1546347901
"Barcelona - Observ Fabra","Bona","OF","01","08019058",2.1239,41.4183,"13h","Bona","67 µg/m³","13h","Bona","8 µg/m³","14h","Bona","11 µg/m³","01/01/2019 14:00",1546347901
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"14h","Bona","34 µg/m³",NA,NA,NA,"01/01/2019 15:00",1546351502
"Barcelona - Eixample","Regular","IH","01","08019043",2.1538,41.3853,"14h","Bona","31 µg/m³","14h","Bona","43 µg/m³","15h","Regular","46 µg/m³","01/01/2019 15:00",1546351502
"Barcelona - Gràcia","Regular","IJ","01","08019044",2.1534,41.3987,"14h","Bona","47 µg/m³","14h","Bona","24 µg/m³","15h","Regular","42 µg/m³","01/01/2019 15:00",1546351502
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"14h","Bona","53 µg/m³","14h","Bona","10 µg/m³",NA,NA,NA,"01/01/2019 15:00",1546351502
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"14h","Bona","56 µg/m³","14h","Bona","20 µg/m³","15h","Bona","19 µg/m³","01/01/2019 15:00",1546351502
"Barcelona - Palau Reial","Bona","IZ","01","08019057",2.1151,41.3875,"14h","Bona","49 µg/m³","14h","Bona","19 µg/m³","14h","Bona","18 µg/m³","01/01/2019 15:00",1546351502
"Barcelona - Poblenou","Bona","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"14h","Bona","27 µg/m³","14h","Bona","35 µg/m³","01/01/2019 15:00",1546351502
"Barcelona - Observ Fabra","Bona","OF","01","08019058",2.1239,41.4183,"14h","Bona","62 µg/m³","14h","Bona","18 µg/m³","14h","Bona","11 µg/m³","01/01/2019 15:00",1546351502
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"15h","Bona","27 µg/m³",NA,NA,NA,"01/01/2019 16:00",1546355102
"Barcelona - Eixample","Regular","IH","01","08019043",2.1538,41.3853,"15h","Bona","39 µg/m³","15h","Bona","38 µg/m³","16h","Regular","44 µg/m³","01/01/2019 16:00",1546355102
"Barcelona - Gràcia","Regular","IJ","01","08019044",2.1534,41.3987,"15h","Bona","53 µg/m³","15h","Bona","18 µg/m³","16h","Regular","42 µg/m³","01/01/2019 16:00",1546355102
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"15h","Bona","53 µg/m³","15h","Bona","10 µg/m³",NA,NA,NA,"01/01/2019 16:00",1546355102
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"15h","Bona","58 µg/m³","15h","Bona","20 µg/m³","16h","Bona","18 µg/m³","01/01/2019 16:00",1546355102
"Barcelona - Palau Reial","Bona","IZ","01","08019057",2.1151,41.3875,"15h","Bona","47 µg/m³","15h","Bona","23 µg/m³","16h","Bona","18 µg/m³","01/01/2019 16:00",1546355102
"Barcelona - Poblenou","Bona","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"15h","Bona","17 µg/m³","16h","Bona","34 µg/m³","01/01/2019 16:00",1546355102
"Barcelona - Observ Fabra","Bona","OF","01","08019058",2.1239,41.4183,"15h","Bona","59 µg/m³","15h","Bona","21 µg/m³","16h","Bona","11 µg/m³","01/01/2019 16:00",1546355102
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"16h","Bona","14 µg/m³",NA,NA,NA,"01/01/2019 17:00",1546358702
"Barcelona - Eixample","Regular","IH","01","08019043",2.1538,41.3853,"16h","Bona","46 µg/m³","16h","Bona","23 µg/m³","16h","Regular","43 µg/m³","01/01/2019 17:00",1546358702
"Barcelona - Gràcia","Regular","IJ","01","08019044",2.1534,41.3987,"16h","Bona","50 µg/m³","16h","Bona","14 µg/m³","17h","Regular","41 µg/m³","01/01/2019 17:00",1546358702
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"16h","Bona","59 µg/m³","16h","Bona","4 µg/m³",NA,NA,NA,"01/01/2019 17:00",1546358702
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"16h","Bona","59 µg/m³","16h","Bona","12 µg/m³","17h","Bona","18 µg/m³","01/01/2019 17:00",1546358702
"Barcelona - Palau Reial","Bona","IZ","01","08019057",2.1151,41.3875,"15h","Bona","47 µg/m³","15h","Bona","23 µg/m³","17h","Bona","18 µg/m³","01/01/2019 17:00",1546358702
"Barcelona - Poblenou","Bona","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"16h","Bona","15 µg/m³","17h","Bona","34 µg/m³","01/01/2019 17:00",1546358702
"Barcelona - Observ Fabra","Bona","OF","01","08019058",2.1239,41.4183,"16h","Bona","58 µg/m³","16h","Bona","13 µg/m³","17h","Bona","11 µg/m³","01/01/2019 17:00",1546358702
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"17h","Bona","15 µg/m³",NA,NA,NA,"01/01/2019 18:00",1546362302
